,AllIC,xBottom,xTop,yBottom,yTop
20150914,-2.9143468374653896,1.0952527912025656,-1.8334615062776227,-10.607797984058019,9.036707020133534
20150915,-3.2791861565029414,1.1060396139834978,-2.3075268898343326,-10.99222056100833,9.07660933788407
20150916,-3.345482333774898,1.0709197240292248,-2.3290275376181016,-11.237575185882328,9.190671766867355
20150917,-3.1989551430004504,1.4027849721793308,-2.364812470329799,-11.038069818611213,9.144088172074618
20150918,-3.1981914280035344,1.3986480592991501,-2.3492084741641506,-11.192415549751036,9.187786135204957
20150921,-3.3432408931187103,1.3560481964045161,-2.5085258769005105,-11.362241200625373,9.22639255767818
20150922,-3.0879059460983322,1.4717757342883673,-2.3421729311665707,-11.111156317440665,9.237857862179363
20150923,-3.142518957803383,1.433937772745243,-2.463487795712267,-11.20149347904609,9.184754744798298
20150924,-3.3939873635749813,1.2777733091674197,-2.5676329492716743,-11.520327680775825,9.27488201591095
20150925,-3.4226848365366647,1.131488827197194,-2.539230624925128,-11.4135032097219,9.133169463962776
20150928,-3.496033502560054,1.0361338668692943,-2.5481708563857888,-11.687555192068043,9.233361515977547
20150929,-3.5814616339407133,1.1450365826360014,-2.722257885968478,-11.846202815840012,9.315235535360843
20150930,-3.616518966892542,1.1603046802957553,-2.7470276588834874,-11.969714190309617,9.395999151907722
20151008,-3.687941279334762,1.1622850580540804,-2.7834761780174033,-11.95386605793086,9.332376275546514
20151009,-3.6569438230531586,1.2614727894063285,-2.8645437966423186,-11.98150337907622,9.39443513295998
20151012,-3.6849201966348653,1.3156024634536632,-2.889220298230464,-11.986012081833634,9.350825496025356
20151013,-3.6343216969192693,1.300656543447285,-2.794748979935108,-11.903973516245665,9.383003235741535
20151014,-3.537622745740799,1.453173382228925,-2.8315693944210354,-11.84296516874694,9.443280630244358
20151015,-3.642303556002534,1.4400963263128375,-2.9360130713567716,-12.002965985796239,9.486355710667388
20151016,-3.715727496510469,1.4147522267110975,-2.9188210791517455,-12.0564105391666,9.452957926335039
20151019,-3.788569182538643,1.3396891018970867,-2.9456069536243152,-12.098257690355425,9.471357497080266
20151020,-3.80075626227028,1.3118504309518821,-2.997755217872464,-12.136699723263323,9.522484458516116
20151021,-3.61843082235804,1.3175210028162563,-2.809245885223031,-12.039813539684623,9.613647505894853
20151022,-3.6897898785507497,1.3119872444367269,-2.9251729082816618,-12.390505475242335,9.842977237199724
20151023,-3.7793716901605245,1.3834343273703733,-3.0178532629384374,-12.639632165291966,9.957190421093763
20151026,-3.719043413720553,1.358026919983932,-2.964510526150066,-12.640553864429195,9.958973871545533
20151027,-3.640191266476026,1.5418160841558188,-3.0639540435930255,-12.570823885474384,10.028340318549418
20151028,-3.6324952209356836,1.5552072662167347,-3.064911246247155,-12.65798805453067,10.127711073333089
20151029,-3.7420166703703366,1.49884765779923,-3.1227344614997294,-12.859299538012271,10.19360583259634
20151030,-3.740587828554764,1.4901819160101764,-3.1382760496211946,-12.980545247855595,10.269184601741662
20151102,-3.7829749076961634,1.453560626702818,-3.1332876833068424,-13.180771093967465,10.429121959962265
20151103,-3.9636684690451522,1.4302848324782655,-3.386373805994602,-13.439549567210214,10.54647869180935
20151104,-4.090038194987195,1.5017798887222178,-3.502669478552041,-13.566143688365322,10.633262475707516
20151105,-3.881418703327571,1.5069762314857216,-3.3192869614230704,-13.389256249974377,10.677546563003963
20151106,-4.013056826464087,1.447402092812489,-3.362359764871889,-13.48468439415366,10.657703807369444
20151109,-4.028018738214803,1.5156176970040087,-3.3749708283371107,-13.57907009316421,10.73310745988451
20151110,-3.814397765291487,1.487298284350658,-3.2350737134116185,-13.552783235120991,10.926753098984168
20151111,-3.825019436329994,1.397571652538157,-3.1443948847964704,-13.59810942113904,10.873503369692305
20151112,-4.142012643779112,1.3538483724136017,-3.4724436732283825,-14.031957525144078,10.894407703796011
20151113,-4.272299718440236,1.2942517247670962,-3.567232785267353,-14.246453692758912,10.93526492157747
20151116,-4.218224365470558,1.4881804913225969,-3.669132399202209,-14.24417170262723,10.972083071437492
20151117,-4.195723519952811,1.4890292523751891,-3.641257524016873,-14.126321086046593,10.983694703337386
20151118,-4.399778730507662,1.345967665631851,-3.61139189335203,-14.36430771149464,11.051752521720605
20151119,-4.3434313321781755,1.3058814637251785,-3.512785131399157,-14.48334050619067,11.285525559456339
20151120,-4.487277783151414,1.2472014879828464,-3.6328448199517442,-14.729806690486022,11.269351336974108
20151123,-4.451283773842479,1.1539602804766123,-3.572084403021522,-14.774829588016003,11.301211671457226
20151124,-4.462132954152772,1.064452395745251,-3.499781335437166,-14.856533102787985,11.390660309373855
20151125,-4.488825477817181,1.0501419742726659,-3.471807089818601,-14.932191331526688,11.450266000179822
20151126,-4.455947314883089,1.032181122279456,-3.3662995577386727,-14.987999486881618,11.481035525287814
20151127,-4.409650592048805,1.0721952686654257,-3.335433684416753,-15.172975481237264,11.722407973213741
20151130,-4.660911951530214,1.0573197163633732,-3.6545817843521378,-15.656081617998764,11.94706693429605
20151201,-4.942034210358446,1.1354281329540206,-3.923132783039994,-15.953631312519873,12.036392572690966
20151202,-5.077570923929868,0.9694289290231073,-3.8085317600985653,-16.095152468944036,12.06637523755235
20151203,-5.2568647869670135,0.9514617968183404,-4.001265037383504,-16.19357463566403,12.032184366084026
20151204,-5.146905671487648,1.0855300120065308,-3.9818223799693486,-16.234189163556817,12.089409501703548
20151207,-5.146158981633241,1.0088922009459342,-3.9669178174445747,-16.471503239590426,12.20965899193834
20151208,-5.056554617018047,1.0416168263082808,-3.8549217966321137,-16.475480300959703,12.438617039664097
20151209,-5.1984453524535805,1.0130872853920112,-3.969459939903485,-16.78811781070423,12.5836649641569
20151210,-5.298613686366187,1.042816227757386,-4.162912634795464,-17.037401376869138,12.707208608381297
20151211,-5.4485043908858435,1.0500016761773014,-4.354323874706744,-17.237522735738466,12.74335890466763
20151214,-5.5100344294063,0.9358030786689748,-4.302865103776004,-17.400999521919967,12.800143102108553
20151215,-5.457462156179338,0.8408634510967494,-4.1703980104598735,-17.181379997460166,12.656505367046828
20151216,-5.439090109636085,0.8613001918571317,-4.166288750724303,-17.29829326164695,12.746641154873444
20151217,-5.53961479204689,0.8132286100676979,-4.203497578489367,-17.49242773883161,12.764034826106828
20151218,-5.576413292285489,0.8589578092587489,-4.243258428951341,-17.494847218766616,12.8033579008574
20151221,-5.677687329954361,0.8356856505319772,-4.30084595360847,-17.679399629223784,12.868171076702147
20151222,-5.5503173489561055,0.9286447366879143,-4.246089290062032,-17.52272225736326,12.888212459257653
20151223,-5.501939524674327,0.8998995132583082,-4.13429673864976,-17.563830223900112,12.969521100880804
20151224,-5.504722865518288,0.9122822707568787,-4.1752706111591635,-17.71098955978356,13.111887204441743
20151225,-5.616136505968152,0.9215179146383949,-4.364899657869247,-17.940644083650362,13.183443720589654
20151228,-5.540176136150502,1.015640249388549,-4.33646081433835,-17.94863106184747,13.270993564916115
20151229,-5.506963843627089,1.0719589611439404,-4.345712701224271,-18.19414015992206,13.507204250652135
20151230,-5.557508035620678,1.1074939425513042,-4.390213133607192,-18.085189065179875,13.436267861798926
20151231,-5.591019425260731,1.2173554526899983,-4.391488011347479,-18.089878063185978,13.426248895496478
20160104,-5.415465969729945,1.2813772515450104,-4.291606219553916,-18.17708673612234,13.666281643845767
20160105,-5.233567971738313,1.2826561058690897,-4.037738972643102,-18.354722563165915,13.998043871416742
20160106,-5.302933699812797,1.2206269749099208,-3.989766937281843,-18.33024536018626,13.850081648083234
20160107,-4.953549502312422,1.3671475483648532,-3.676598368469778,-18.15618820078572,14.15142898899728
20160108,-4.779414716254613,1.364575521799845,-3.363261483406417,-18.17977011770663,14.469314193433927
20160111,-4.871107839745176,1.479612193553141,-3.5287994506323956,-18.347859744641827,14.57754550855201
20160112,-4.7649704911141315,1.497806002636353,-3.5037834410558477,-18.47558825804644,14.741335955394922
20160113,-4.543361586221302,1.4995950786175958,-3.3098321993809243,-18.38091489914874,14.875782561232402
20160114,-4.499274237375871,1.5007764110362773,-3.240801228314238,-18.37555564736511,14.923253702457751
20160115,-4.216651460151287,1.7411676506854157,-3.228311835069255,-18.105408281237636,14.853587182539096
20160118,-4.366092319814694,1.6883087823347975,-3.277973678236094,-18.384973544650443,14.88932366048144
20160119,-4.307193768596551,1.6956202568395278,-3.2357381715973306,-18.28203365617827,14.85245126208856
20160120,-4.2512184731962455,1.67392037558111,-3.2301379457968897,-18.13641019524099,14.873683536005618
20160121,-4.1508882442570485,1.78542887747484,-3.168555652453838,-18.129179863477894,14.996743811733431
20160122,-4.244644904144848,1.7301649676661792,-3.1974920004584795,-18.23927512191728,15.00379953381201
20160125,-4.249838582928048,1.6397606959210502,-3.1502074694963436,-18.27218472650643,14.998601739856753
20160126,-4.149142437614657,1.621004094246725,-3.0717901682332878,-18.29376809606718,15.101513712035166
20160127,-4.139046699191314,1.6320324608120682,-3.0401738482723832,-18.45654549020665,15.274315558132008
20160128,-4.269449833362821,1.6830849562612398,-3.15421620262217,-18.680632138740542,15.319234183329714
20160129,-4.3220476426399355,1.6184806416977042,-3.1253931831492934,-18.710929625605793,15.334002918747062
20160201,-4.202263626048083,1.7538289648802199,-3.1467951037161046,-18.545321168555528,15.262835315420153
20160202,-4.271451642245747,1.6948509053387193,-3.127527988604799,-18.66767854867317,15.286615524844072
20160203,-4.213967608756662,1.7618610155134613,-3.1280607431230854,-18.659707397601316,15.222399686793944
20160204,-4.21710377259458,1.697420122023784,-3.0648889594473925,-18.636877784325225,15.255734660223963
20160205,-4.143108932446872,1.7133169995365867,-2.9791408356942863,-18.65047626040403,15.325596649138959
20160215,-4.326355310368299,1.7080578564301838,-3.1268457565583554,-18.8483745208752,15.317520862963804
20160216,-4.394028889309556,1.702006504081515,-3.1883083766106903,-18.880830175161027,15.286951984501997
20160217,-4.387078457718345,1.7061001471473127,-3.106666256366551,-18.881664713533866,15.300510905233029
20160218,-4.316689061400333,1.7393790758465197,-3.1386639231098385,-18.916889717274447,15.329449836466866
20160219,-4.310861588007237,1.7801976725886737,-3.1964579111195803,-18.98704827760317,15.405418970729725
20160222,-4.332364567288176,1.783714557770542,-3.162468886582651,-19.044229634897235,15.41710493461606
20160223,-4.341075172470865,1.9245203421604844,-3.3444344275587383,-18.97728311079282,15.340566561094079
20160224,-4.314889802692243,1.8589685477455078,-3.3584999206784376,-18.973187663804165,15.375655378012235
20160225,-4.18644391918584,2.003694556918113,-3.3455211966099845,-18.951941950761874,15.500284382988102
20160226,-3.9617504539214257,2.033174017755836,-3.2085337699623957,-19.05059440424744,15.810660108091168
20160229,-4.025140050722308,2.102356921724075,-3.3139549867838007,-19.24388360369375,15.904305639207228
